feature,importance,domain
TF:WPT_ddda_skew,36.0,TF
TIME:impulse_factor,36.0,TIME
TF:DWT_L6_iqr,36.0,TF
TIME:shape_factor,36.0,TIME
TF:WPT_daaa_zcr,36.0,TF
TF:DWT_L2_std,36.0,TF
TIME:hist_b13,36.0,TIME
TF:WPT_aada_max,35.0,TF
TF:glcm_4_entropy_d1_a0,35.0,TF
TF:lbp_b26,35.0,TF
TF:stft_max,35.0,TF
TF:mod11_centroid,35.0,TF
TF:WPT_addd_mean,35.0,TF
TF:WPT_adad_zcr,35.0,TF
TF:tf_sparsity,35.0,TF
TF:WPT_ddad_mean,34.0,TF
TF:WPT_adda_tk_max,34.0,TF
TF:glcm_34_entropy_d2_a2,34.0,TF
TF:lbp_b25,34.0,TF
TF:WPT_dadd_max,34.0,TF
TF:WPT_aada_range,34.0,TF
FREQ:frac_low,34.0,FREQ
TF:glcm_76_energy_d4_a3,34.0,TF
TF:DWT_L1_min,34.0,TF
TF:WPT_dadd_tk_max,34.0,TF
TF:WPT_aaaa_range,34.0,TF
TF:WPT_ddad_skew,33.0,TF
TF:WPT_dada_tk_std,33.0,TF
TF:WPT_ddaa_tk_mean,33.0,TF
TF:Ef_entropy,33.0,TF
TF:DWT_L0_max,33.0,TF
TF:WPT_ddaa_iqr,33.0,TF
TF:DWT_L4_tk_std,33.0,TF
FREQ:spec_centroid,32.0,FREQ
TIME:max_abs,32.0,TIME
SPAT:st_hist_contrast,32.0,SPAT
TF:WPT_aadd_mad,32.0,TF
TF:DWT_L0_tk_std,32.0,TF
FREQ:spec_flatness,32.0,FREQ
TF:WPT_adaa_skew,32.0,TF
TF:WPT_adaa_mad,32.0,TF
TF:lbp_b18,32.0,TF
TF:WPT_dddd_range,32.0,TF
TF:WPT_addd_median,32.0,TF
TF:WPT_aada_tk_mean,32.0,TF
TIME:env_std,31.0,TIME
TF:WPT_daaa_range,31.0,TF
TIME:rms_to_mad,31.0,TIME
TF:Et_max,31.0,TF
TF:DWT_L1_range,31.0,TF
TF:WPT_adad_min,31.0,TF
TF:WPT_ddad_median,31.0,TF
TF:WPT_ddad_iqr,31.0,TF
TF:DWT_L5_tk_max,31.0,TF
TF:lbp_b19,31.0,TF
TF:WPT_adaa_range,31.0,TF
TF:lbp_b13,31.0,TF
TF:WPT_aadd_abs_mean,30.0,TF
TF:WPT_dada_skew,30.0,TF
TF:WPT_aada_mean,30.0,TF
TF:glcm_1_energy_d1_a0,30.0,TF
TF:DWT_L5_min,30.0,TF
TF:DWT_L4_skew,30.0,TF
TF:Ef_centroid,30.0,TF
TF:lbp_b12,30.0,TF
TF:WPT_ddaa_mad,30.0,TF
TF:glcm_14_entropy_d1_a2,30.0,TF
FREQ:cepstral_1,30.0,FREQ
TF:DWT_L0_std,30.0,TF
TF:DWT_L0_skew,30.0,TF
TF:stft_kurt,30.0,TF
TF:WPT_daaa_min,29.0,TF
FREQ:bandP_0,29.0,FREQ
FREQ:mag_std,29.0,FREQ
TF:DWT_L1_tk_max,29.0,TF
TF:glcm_79_entropy_d4_a3,29.0,TF
TF:WPT_daaa_max,29.0,TF
TF:WPT_aaaa_std,29.0,TF
TF:WPT_ddda_range,29.0,TF
TF:DWT_L1_max,28.0,TF
TF:WPT_dada_tk_max,28.0,TF
TF:WPT_aaaa_tk_max,28.0,TF
TF:lbp_b29,28.0,TF
TF:glcm_9_entropy_d1_a1,28.0,TF
TIME:hjorth_complexity,28.0,TIME
TF:WPT_daad_max,27.0,TF
TIME:d1_mean_abs,27.0,TIME
TF:WPT_aada_iqr,27.0,TF
TF:WPT_dada_mad,27.0,TF
FREQ:mag_mean,27.0,FREQ
TF:glcm_70_contrast_d4_a2,27.0,TF
TF:DWT_L4_iqr,27.0,TF
TF:WPT_dddd_mad,27.0,TF
TF:stft_p10,27.0,TF
TF:DWT_L0_tk_mean,27.0,TF
TF:WPT_addd_tk_max,27.0,TF
TF:WPT_dddd_iqr,26.0,TF
TF:DWT_L5_tk_std,26.0,TF
TF:WPT_adda_mad,26.0,TF
TF:DWT_L0_range,26.0,TF
TF:WPT_ddda_mad,26.0,TF
FREQ:spec_decrease,26.0,FREQ
TF:DWT_L2_energy,26.0,TF
TF:WPT_dddd_tk_std,26.0,TF
TF:WPT_adda_range,26.0,TF
FREQ:ratio_low_high,26.0,FREQ
TF:WPT_dddd_max,26.0,TF
TF:DWT_L5_range,25.0,TF
TF:WPT_ddda_max,25.0,TF
TF:glcm_19_entropy_d1_a3,25.0,TF
TF:lbp_b17,25.0,TF
TF:WPT_adda_tk_std,25.0,TF
TF:WPT_daaa_mean,25.0,TF
TF:WPT_ddad_mad,25.0,TF
TF:tfband_1,25.0,TF
FREQ:spec_entropy_shannon,25.0,FREQ
TF:WPT_adad_tk_std,25.0,TF
TF:glcm_54_entropy_d3_a2,25.0,TF
TF:glcm_6_energy_d1_a1,24.0,TF
TF:WPT_daad_tk_max,24.0,TF
TF:glcm_31_energy_d2_a2,24.0,TF
TF:WPT_ddda_iqr,24.0,TF
TF:glcm_16_energy_d1_a3,24.0,TF
TF:glcm_11_energy_d1_a2,24.0,TF
TF:WPT_dddd_tk_max,24.0,TF
TF:WPT_dada_iqr,24.0,TF
SPAT:st_hist_uniformity,24.0,SPAT
TF:WPT_addd_range,24.0,TF
TF:WPT_aaaa_tk_std,24.0,TF
TF:WPT_adda_abs_mean,24.0,TF
TF:WPT_aada_tk_std,24.0,TF
FREQ:mag_range,24.0,FREQ
