feature,votes,score_variance,rank_variance,score_pearson,rank_pearson,score_mutual_info,rank_mutual_info,score_relieff,rank_relieff,score_mrmr,rank_mrmr,score_rfe,rank_rfe,score_boruta,rank_boruta,score_shap,rank_shap,avg_rank,selection_pct
TF:DWT_L4_max,7,2.482424259185791,203.0,0.17876872493261498,386.0,0.31268344302160145,402.0,0.13370368973241203,274.0,0.0,701.5,-4.0,152.5,-197.0,338.0,0.00020248636335425693,421.0,359.75,87.5
TF:glcm_50_contrast_d3_a2,7,0.05178193747997284,425.0,0.17392314942818587,407.0,0.3335880531675097,363.0,0.10659481007295572,365.0,0.0,701.5,-5.0,252.5,-70.0,211.0,0.00035983763649235275,205.0,366.25,87.5
TF:mod11_spread,7,1.520749568939209,220.0,0.19029056626801624,333.0,0.2958880054758555,442.0,0.10090235819136328,424.0,0.0,701.5,-6.0,352.5,-116.0,257.0,0.0003559170948072231,209.0,367.375,87.5
TF:Et_iqr,7,0.07733161747455597,389.0,0.18901093215500298,344.0,0.285394395179833,469.0,0.09979619909153555,426.0,0.0,701.5,-4.0,152.5,-81.0,222.0,0.00026628090909558953,296.0,375.0,87.5
TF:WPT_adda_log_energy,7,0.36658066511154175,281.0,0.19185504873244852,321.0,0.4059646922738529,160.0,0.09782350032937355,439.0,0.0,701.5,-11.0,852.5,-56.0,197.0,0.0005038359400257269,122.0,384.25,87.5
TF:novelty,7,0.025461364537477493,468.0,0.20022821502480792,242.0,0.2814753780396724,478.0,0.11280991514078169,339.0,30.0,371.0,-6.0,352.5,-522.0,663.0,0.00039994738476408593,176.0,386.1875,87.5
TF:WPT_dddd_log_energy,7,0.35650986433029175,284.0,0.19022378605768653,336.0,0.40676980927390405,158.0,0.09500275963906356,452.0,0.0,701.5,-12.0,952.5,-119.0,260.0,0.000694167214737615,76.0,402.5,87.5
TF:DWT_L3_min,7,4.623533725738525,173.5,0.168658915281601,440.5,0.27224853971626484,496.5,0.11322899718804905,337.5,0.0,701.5,-6.0,352.5,-340.0,481.0,0.0002617636939899315,298.0,410.125,87.5
TF:glcm_54_entropy_d3_a2,7,0.07028627395629883,394.0,0.1934309463869355,288.0,0.36205825731442287,293.0,0.10337094096381073,403.0,11.0,390.0,-12.0,952.5,-267.0,408.0,0.00042922313259919536,153.0,410.1875,87.5
TF:glcm_10_contrast_d1_a2,7,0.031335338950157166,453.0,0.181051201113142,379.0,0.30049309554694137,432.0,0.11574171998612398,327.0,42.0,359.0,-10.0,752.5,-112.0,253.5,0.0002449109510772105,326.0,410.25,87.5
TF:WPT_adad_min,7,0.04329685866832733,432.0,0.17377649840342702,409.0,0.27901451599955696,485.0,0.10604595762686285,368.0,0.0,701.5,-6.0,352.5,-99.0,240.0,0.0002389525959889578,339.0,415.875,87.5
TF:WPT_aaad_min,7,4.623533725738525,173.5,0.168658915281601,440.5,0.27224853971626484,496.5,0.11322899718804905,337.5,0.0,701.5,-5.0,252.5,-347.0,488.0,0.00019707085530009305,441.0,416.375,87.5
TF:WPT_daad_log_energy,7,0.3361845314502716,292.0,0.18986345357669743,342.0,0.4609232552253495,18.0,0.09052912440206771,473.0,0.0,701.5,-12.0,952.5,-159.0,300.0,0.0002996098436136937,253.0,416.5,87.5
TF:WPT_dadd_max,7,0.0012971775140613317,621.0,0.18877614377817215,345.0,0.30057987154873267,431.0,0.12367853344045426,305.0,0.0,701.5,-4.0,152.5,-312.0,453.5,0.00021458537019360894,387.0,424.5625,87.5
TF:WPT_addd_range,7,0.6976153254508972,248.5,0.18562094800269688,352.5,0.383985419996812,228.5,0.13632967556453934,264.5,0.0,701.5,-7.0,452.5,-279.0,420.0,7.104808235270114e-05,908.0,447.0,87.5
TF:WPT_dddd_tk_std,7,1.7351123204889518e-08,909.0,0.1722235410550544,413.0,0.3218167930835003,382.0,0.10818745071282855,353.0,0.0,701.5,-7.0,452.5,-193.0,334.0,0.0002204333781442581,378.0,490.375,87.5
FREQ:bandP_2,6,5988917182464.0,6.0,0.13234073473540853,572.0,0.4525331451726946,33.5,0.0423203030095363,679.0,380.0,21.0,-3.0,52.5,-1.0,59.0,0.0016392311553591135,25.0,181.0,75.0
TIME:autocorr_first_zero,6,4180.0634765625,54.0,0.14792047985400594,515.0,0.42497808825005956,103.0,0.18007837137338392,23.0,0.0,701.5,-4.0,152.5,-1.0,59.0,0.0020286761531644925,23.0,203.875,75.0
TF:DWT_L5_mad,6,0.004133286420255899,564.0,0.22147154550110193,69.0,0.4487744516215124,41.0,0.16020221789656547,108.0,268.0,133.0,-10.0,752.5,-1.0,59.0,0.0005165744033132188,116.0,230.3125,75.0
TF:tf_area,6,0.0009073059190995991,651.5,0.20214022512242455,232.5,0.44137938269993127,59.0,0.15837074739028426,122.5,263.0,138.0,-8.0,552.5,-1.0,59.0,0.0008920808085839848,51.0,233.25,75.0
TF:tf_occupancy,6,0.0009073059190995991,651.5,0.20214022512242455,232.5,0.4355464504687392,77.0,0.15837074739028426,122.5,258.0,143.0,-8.0,552.5,-1.0,59.0,0.0008365383730809502,56.0,236.75,75.0
