feature,importance,domain
FREQ:cepstral_5,108.0,FREQ
TF:WPT_aada_tk_max,108.0,TF
FREQ:psd_min,107.0,FREQ
TF:glcm_73_correlation_d4_a2,107.0,TF
TF:WPT_ddaa_max,106.0,TF
TF:tfband_4,106.0,TF
TF:WPT_daaa_entropy,106.0,TF
TF:DWT_L2_tk_mean,105.0,TF
TF:WPT_dadd_max,105.0,TF
TIME:min,105.0,TIME
TF:WPT_dadd_range,104.0,TF
TF:WPT_aadd_range,104.0,TF
FREQ:spec_centroid,103.0,FREQ
TIME:above_3std_frac,103.0,TIME
TF:glcm_65_contrast_d4_a1,103.0,TF
TIME:max,103.0,TIME
TF:WPT_dada_range,102.0,TF
TIME:burst_mean_gap,102.0,TIME
TF:WPT_adad_min,102.0,TF
TIME:env_skew,101.0,TIME
TF:WPT_daaa_kurt,101.0,TF
TIME:hist_b4,100.0,TIME
TF:glcm_45_contrast_d3_a1,100.0,TF
TF:Et_max,100.0,TF
TF:WPT_aada_min,99.0,TF
TF:WPT_adad_max,99.0,TF
TIME:hist_b11,98.0,TIME
TF:DWT_L0_mean,98.0,TF
TF:WPT_ddad_max,98.0,TF
TF:WPT_aaaa_skew,98.0,TF
TF:DWT_L4_tk_max,98.0,TF
FREQ:cepstral_1,97.0,FREQ
TIME:burst_std_dur,97.0,TIME
TF:glcm_50_contrast_d3_a2,96.0,TF
TF:glcm_60_contrast_d4_a0,96.0,TF
TIME:d1_max_abs,96.0,TIME
TIME:hist_b6,95.0,TIME
TF:WPT_aaad_zcr,95.0,TF
TIME:env_kurt,95.0,TIME
TF:WPT_dddd_iqr,95.0,TF
TF:WPT_ddad_min,94.0,TF
TIME:katz_fd,94.0,TIME
TF:DWT_L0_skew,93.0,TF
TF:WPT_aada_range,93.0,TF
FREQ:spec_decrease,93.0,FREQ
TF:WPT_dddd_kurt,93.0,TF
TF:WPT_aaaa_mean,92.0,TF
TF:WPT_ddaa_iqr,92.0,TF
TF:DWT_L3_range,91.0,TF
TF:DWT_L6_min,91.0,TF
TF:WPT_ddad_kurt,91.0,TF
TIME:zcr,90.0,TIME
TF:DWT_L5_entropy,90.0,TF
TF:WPT_adda_entropy,90.0,TF
TF:WPT_ddda_kurt,89.0,TF
FREQ:spec_skew,89.0,FREQ
TF:WPT_ddda_entropy,88.0,TF
TF:WPT_aaaa_entropy,88.0,TF
TF:DWT_L1_var,87.0,TF
TIME:energy_gini,87.0,TIME
TF:stft_kurt,86.0,TF
TF:WPT_daaa_tk_max,86.0,TF
TF:stft_skew,86.0,TF
TIME:mean_peak_interval,86.0,TIME
TF:WPT_adad_range,86.0,TF
TF:stft_p75,85.0,TF
TF:DWT_L2_mad,85.0,TF
TF:WPT_adda_min,85.0,TF
TF:WPT_daad_max,84.0,TF
TF:Ef_rolloff99,84.0,TF
TF:Ef_max,83.0,TF
FREQ:hist_b22,83.0,FREQ
TF:WPT_ddad_skew,83.0,TF
TF:WPT_ddaa_mad,83.0,TF
TF:glcm_30_contrast_d2_a2,83.0,TF
TF:WPT_daaa_tk_std,82.0,TF
TF:WPT_ddda_min,82.0,TF
TF:WPT_daaa_range,81.0,TF
FREQ:pow_max,81.0,FREQ
TIME:hist_b9,81.0,TIME
FREQ:spec_spread,81.0,FREQ
TF:DWT_L6_kurt,80.0,TF
TF:WPT_dddd_entropy,80.0,TF
TF:WPT_aaad_entropy,80.0,TF
TF:glcm_10_contrast_d1_a2,78.0,TF
TF:WPT_daaa_mad,78.0,TF
TF:WPT_aaad_kurt,78.0,TF
TIME:hist_b5,77.0,TIME
FREQ:bandP_4,76.0,FREQ
TF:stft_p50,76.0,TF
TF:DWT_L1_energy,76.0,TF
TF:stft_max,75.0,TF
TF:WPT_aaaa_kurt,75.0,TF
TF:WPT_adda_iqr,75.0,TF
TIME:hist_b10,75.0,TIME
TF:WPT_daad_range,75.0,TF
TF:WPT_dddd_mad,75.0,TF
TF:WPT_adad_iqr,74.0,TF
TF:WPT_aaaa_range,74.0,TF
TF:WPT_aaad_skew,73.0,TF
TF:WPT_adda_max,72.0,TF
TF:WPT_adaa_abs_mean,72.0,TF
TF:Et_entropy,71.0,TF
TF:DWT_L1_std,71.0,TF
TF:WPT_ddda_tk_mean,71.0,TF
TF:DWT_L3_iqr,71.0,TF
TF:WPT_daaa_abs_mean,70.0,TF
TF:WPT_adda_tk_mean,70.0,TF
TF:WPT_ddda_iqr,70.0,TF
TF:DWT_L0_range,70.0,TF
TF:WPT_ddda_mad,70.0,TF
TF:WPT_dddd_min,70.0,TF
TF:WPT_adda_kurt,70.0,TF
TIME:kurt,69.0,TIME
TF:WPT_adad_tk_max,69.0,TF
TF:WPT_adaa_kurt,69.0,TF
TIME:above_1std_frac,68.0,TIME
TIME:n_valleys,68.0,TIME
FREQ:spec_flatness,68.0,FREQ
TF:WPT_dddd_max,68.0,TF
TF:lbp_b31,67.0,TF
TF:glcm_55_contrast_d3_a3,67.0,TF
TF:WPT_dada_iqr,67.0,TF
TF:WPT_ddaa_abs_mean,67.0,TF
FREQ:bandP_rel_3,66.0,FREQ
TF:DWT_L6_max,66.0,TF
TF:WPT_aada_tk_std,66.0,TF
TF:WPT_daaa_tk_mean,66.0,TF
TIME:env_entropy,65.0,TIME
TF:DWT_L5_kurt,65.0,TF
TF:WPT_adaa_iqr,65.0,TF
TF:WPT_dddd_tk_mean,65.0,TF
TF:WPT_daad_mad,64.0,TF
TF:tf_elongation,64.0,TF
TF:WPT_adaa_mad,64.0,TF
TF:WPT_aada_iqr,64.0,TF
TF:WPT_ddad_entropy,64.0,TF
TF:WPT_ddaa_kurt,63.0,TF
TF:Et_range,63.0,TF
TF:stft_rms,63.0,TF
TF:WPT_adda_tk_std,63.0,TF
TF:WPT_addd_mad,63.0,TF
TF:glcm_57_homogeneity_d3_a3,63.0,TF
TF:DWT_L3_mad,63.0,TF
TF:WPT_adaa_range,63.0,TF
TF:WPT_dddd_abs_mean,62.0,TF
TIME:hist_contrast,62.0,TIME
TF:WPT_ddad_mad,62.0,TF
TF:DWT_L5_max,62.0,TF
TIME:max_abs,61.0,TIME
TF:WPT_aaad_median,60.0,TF
TF:Et_std,60.0,TF
TIME:p2p,60.0,TIME
TF:glcm_42_homogeneity_d3_a0,60.0,TF
TF:WPT_adad_mad,58.0,TF
TF:stft_std,58.0,TF
TF:WPT_dddd_range,58.0,TF
TF:DWT_L1_log_energy,58.0,TF
TF:WPT_ddda_max,58.0,TF
TF:WPT_ddad_range,58.0,TF
FREQ:hist_b21,57.0,FREQ
TF:WPT_dadd_iqr,57.0,TF
TF:WPT_aada_tk_mean,57.0,TF
TF:WPT_ddad_tk_max,56.0,TF
TIME:margin_factor,56.0,TIME
TIME:energy_entropy,56.0,TIME
FREQ:ratio_low_mid,56.0,FREQ
TF:WPT_dadd_mad,56.0,TF
TF:WPT_aadd_iqr,55.0,TF
TF:WPT_daad_tk_std,55.0,TF
TIME:n_peaks,54.0,TIME
TF:WPT_dddd_tk_std,54.0,TF
TF:WPT_addd_iqr,54.0,TF
FREQ:spec_entropy_shannon,54.0,FREQ
TF:DWT_L5_tk_max,53.0,TF
TF:WPT_adad_tk_mean,53.0,TF
TF:WPT_ddad_iqr,53.0,TF
TIME:impulse_factor,53.0,TIME
TF:DWT_L1_rms,53.0,TF
TF:glcm_40_contrast_d3_a0,53.0,TF
TF:DWT_L3_tk_std,53.0,TF
TF:WPT_aada_mad,53.0,TF
TF:WPT_adaa_skew,52.0,TF
TIME:hist_entropy,52.0,TIME
TF:WPT_daad_iqr,52.0,TF
TF:glcm_77_homogeneity_d4_a3,52.0,TF
TF:DWT_L5_min,50.0,TF
FREQ:spec_slope,50.0,FREQ
TF:Et_mean,50.0,TF
TF:WPT_adda_tk_max,50.0,TF
TF:WPT_ddda_tk_max,50.0,TF
TF:WPT_adda_rel_energy,50.0,TF
TF:WPT_ddad_tk_std,50.0,TF
TF:DWT_L3_tk_mean,49.0,TF
TF:WPT_dddd_rel_energy,49.0,TF
TF:WPT_addd_tk_mean,49.0,TF
TIME:iqr,49.0,TIME
TF:glcm_72_homogeneity_d4_a2,48.0,TF
TF:WPT_ddaa_entropy,48.0,TF
FREQ:spec_entropy_renyi,48.0,FREQ
TF:glcm_52_homogeneity_d3_a2,47.0,TF
